Hit,Protein1,Protein2,E,Score,Organism
287,A0T0A6,P13555,3e-13,53.4,Pisum sativum
288,A0T0A6,Q6YXL6,6.1e-13,52.4,Physcomitrium patens
289,A0T0A6,A6BM35,6.1e-13,52.4,Gnetum parvifolium
290,A0T0A6,Q85X30,6.6e-13,52.3,Pinus koraiensis
291,A0T098,A0T0S9,3.2e-13,52.1,Thalassiosira pseudonana
292,A0T098,Q1XDA0,2.2e-10,43.6,Pyropia yezoensis
293,A0T098,Q8M9X5,4.1e-10,42.8,Chaetosphaeridium globosum
294,A0T098,P51387,7.3e-10,42.1,Porphyra purpurea
295,A0T098,Q32RX8,8.8e-10,41.8,Staurastrum punctulatum
296,A0T098,Q6B8K8,8.8e-10,41.8,Gracilaria tenuistipitata var. liui
297,A0T098,Q3ZJ61,9.2e-10,41.8,Tupiella akineta
298,A0T098,Q85CI4,1.2e-09,41.4,Anthoceros angustus
299,A0T098,Q8WI10,1.7e-09,41.0,Psilotum nudum
300,A0T098,Q9MUQ4,1.9e-09,40.8,Mesostigma viride
301,A0T098,P12185,2.6e-09,40.4,Marchantia polymorpha
302,A0T098,Q32RL7,2.7e-09,40.4,Zygnema circumcarinatum
303,A0T098,O78462,4.4e-09,39.7,Guillardia theta
304,A0T098,Q20F22,9.1e-09,38.8,Oltmannsiellopsis viridis
305,A0T098,P58214,1.1e-08,38.5,Chlorella vulgaris
306,A0T098,Q9TL12,1.2e-08,38.4,Nephroselmis olivacea
307,A0T098,Q0P3K0,1.6e-08,38.1,Ostreococcus tauri
308,A0T0J5,P23402,1.1e-57,199.2,Cyanophora paradoxa
309,A0T0J5,B2ITN9,7.9999999999999985e-56,193.1,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
310,A0T0J5,Q8YPJ5,1.7e-55,192.1,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
311,A0T0J5,Q3MFA5,1.7e-55,192.1,Trichormus variabilis ATCC 29413
312,A0T0J5,B7KI03,2.0999999999999998e-55,191.8,Gloeothece citriformis (strain PCC 7424)
313,A0T0J5,O46910,3.4999999999999995e-55,191.0,Guillardia theta
314,A0T0J5,A6MW17,6.3999999999999995e-55,190.2,Rhodomonas salina
315,A0T0J5,B0C1E9,4.9999999999999996e-54,187.3,Acaryochloris marina (strain MBIC 11017)
316,A0T0J5,Q4G352,8.3e-54,186.6,Emiliania huxleyi
317,A0T0J5,B0JHY7,3.1999999999999996e-53,184.7,Microcystis aeruginosa (strain NIES-843)
318,A0T0J5,P59126,1.2e-52,182.8,Thermosynechococcus elongatus (strain BP-1)
319,A0T0J5,P73304,1.5e-52,182.5,Synechocystis sp. (strain PCC 6803 / Kazusa)
320,A0T0J5,B7K232,7.4e-52,180.2,Rippkaea orientalis (strain PCC 8801)
321,A0T0J5,Q31L23,8.4e-52,180.0,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
322,A0T0J5,O24705,8.4e-52,180.0,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
323,A0T0J5,Q1XDJ0,1.2e-50,176.3,Pyropia yezoensis
324,A0T0J5,B1XJJ1,1.9e-50,175.7,Synechococcus sp. PCC 7002
325,B7FXW1,Q754B9,4.9e-06,30.6,Ashbya gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056)
326,B7FXW1,Q8J207,1.5e-05,29.0,Leptosphaeria maculans
327,B7FXW1,Q5PRC0,1.8e-05,28.7,Danio rerio
328,B7FXW1,Q7SBB6,6.3e-05,26.9,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)
329,B7FXW1,O88822,7.6e-05,26.7,Mus musculus
330,B7FXW1,P53045,0.00018,25.4,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
331,B7FXW1,O75845,0.00024,25.0,Homo sapiens
332,B7FXW1,Q9EQS5,0.00024,25.0,Rattus norvegicus
333,B7FXW1,O93875,0.00025,25.0,Candida albicans
334,B7FXW1,P32353,0.00044,24.2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
335,B7FXW1,O13666,0.00056,23.8,Schizosaccharomyces pombe (strain 972 / ATCC 24843)
336,B7FXW1,Q8NJ57,0.00063,23.6,Candida dubliniensis (strain CD36 / ATCC MYA-646 / CBS 7987 / NCPF 3949 / NRRL Y-17841)
337,B7FXW1,Q5ZLL6,0.0014,22.5,Gallus gallus
338,B7FXW1,Q7ZW77,0.0015,22.4,Danio rerio
339,B7FXW1,Q9UUH4,0.0017,22.3,Schizosaccharomyces pombe (strain 972 / ATCC 24843)
340,B7FXW1,O59933,0.0036,21.2,Candida albicans (strain SC5314 / ATCC MYA-2876)
341,B7FXW1,P50860,0.004,21.0,Candida glabrata (strain ATCC 2001 / CBS 138 / JCM 3761 / NBRC 0622 / NRRL Y-65)
342,Q08587,Q42395,1.7e-77,264.5,Trieres chinensis
343,Q08587,Q40299,1.3e-53,186.6,Macrocystis pyrifera
344,Q08587,P08976,2.1999999999999996e-24,91.4,Euglena gracilis
345,Q08587,P55738,2.1e-18,71.9,Amphidinium carterae
346,Q08587,Q39709,3.7e-16,64.5,Isochrysis galbana
347,Q08587,Q03965,1.7e-13,55.9,Chlamydomonas moewusii
348,Q08587,P0DO19,2.4e-13,55.4,Chlamydomonas reinhardtii
349,Q08587,P93664,5.8e-13,54.1,Chlamydomonas reinhardtii
350,A0T0G8,B0CDA5,2.800000000000001e-118,400.3,Acaryochloris marina (strain MBIC 11017)
351,A0T0G8,Q3M6F7,1.8e-117,397.6,Trichormus variabilis ATCC 29413
352,A0T0G8,Q9R6Y2,2.4e-117,397.3,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
353,A0T0G8,B1WRN9,4.1e-115,389.9,Crocosphaera subtropica (strain ATCC 51142 / BH68)
354,A0T0G8,B0JHI7,5.9e-115,389.4,Microcystis aeruginosa (strain NIES-843)
355,A0T0G8,O68616,7.2e-115,389.1,Synechococcus sp. PCC 7002
356,A0T0G8,Q8DL16,1.8e-113,384.4,Thermosynechococcus elongatus (strain BP-1)
357,A0T0G8,P73912,9.9e-113,382.0,Synechocystis sp. (strain PCC 6803 / Kazusa)
358,A0T0G8,Q9R6T0,5.9e-107,363.0,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
359,A0T0G8,Q31RG5,5.9e-107,363.0,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
360,Q9SE35,Q52118,0.0014,23.4,Pantoea stewartii subsp. stewartii
361,Q9SE35,P73709,0.016,20.0,Synechocystis sp. (strain PCC 6803 / Kazusa)
362,Q9SE35,Q497N6,0.28,15.9,Mus musculus
363,Q9SE35,P73063,0.4,15.4,Synechocystis sp. (strain PCC 6803 / Kazusa)
364,Q9SE35,P74221,0.48,15.2,Synechocystis sp. (strain PCC 6803 / Kazusa)
365,Q9SE35,P20075,0.5,15.1,Daucus carota
366,Q9SE35,Q55837,0.69,14.6,Synechocystis sp. (strain PCC 6803 / Kazusa)
367,Q9SE35,P10333,0.97,14.2,Drosophila melanogaster
368,B7FSL4,Q7KUT2,1.2e-253,848.8,Drosophila melanogaster
369,B7FSL4,A4S6Y4,1.6999999999999999e-251,841.7,Ostreococcus lucimarinus (strain CCE9901)
370,B7FSL4,Q8CGK3,2.5e-242,811.3,Mus musculus
371,B7FSL4,P36776,1e-241,809.3,Homo sapiens
372,B7FSL4,Q924S5,2e-241,808.4,Rattus norvegicus
373,B7FSL4,Q59HJ6,4.9e-241,807.1,Bos taurus
374,B7FSL4,Q7S8C4,7.2e-235,786.7,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)
375,B7FSL4,Q9M9L7,9.5e-231,773.0,Arabidopsis thaliana
376,B7FSL4,O44952,3.9999999999999997e-230,771.0,Caenorhabditis elegans
377,B7FSL4,A2QCJ2,5.5e-228,763.9,Aspergillus niger (strain CBS 513.88 / FGSC A1513)
378,B7FSL4,Q4X0Z7,7.1e-228,763.5,Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100)
379,B7FSL4,Q6ME13,1.1000000000000001e-227,762.9,Protochlamydia amoebophila (strain UWE25)
380,B7FSL4,Q5AZT7,1.6e-227,762.3,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)
381,A0T0E9,Q19VA4,4.8e-21,80.0,Chlorokybus atmophyticus
382,A0T0E9,Q6B8R0,2.7e-20,77.6,Gracilaria tenuistipitata var. liui
383,A0T0E9,A6MVW6,2.9e-20,77.5,Rhodomonas salina
384,A0T0E9,Q6YXK2,4.1e-20,77.0,Physcomitrium patens
385,A0T0E9,Q1XDP3,5.1e-20,76.7,Pyropia yezoensis
386,A0T0E9,B2J056,2.7e-19,74.4,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
387,A0T0E9,Q32RL0,4.8e-19,73.6,Zygnema circumcarinatum
388,A0T0E9,O78477,5.6e-19,73.4,Guillardia theta
389,A0T0E9,Q32RS7,5.7e-19,73.3,Staurastrum punctulatum
390,A0T0E9,Q85AL8,6e-19,73.3,Anthoceros angustus
391,A0T0E9,Q9TL15,1.3e-18,72.2,Nephroselmis olivacea
392,A0T0E9,P35011,1.3e-18,72.1,Galdieria sulphuraria
393,A0T0E9,P51244,2.6e-18,71.2,Porphyra purpurea
394,A0T0E9,Q20EV8,2.9e-18,71.0,Oltmannsiellopsis viridis
395,A0T0E9,P06291,4.1e-18,70.6,Marchantia polymorpha
396,A0T0I0,Q9MUT8,6.2e-31,111.1,Mesostigma viride
397,A0T0I0,B7K333,3.1000000000000003e-30,108.8,Rippkaea orientalis (strain PCC 8801)
398,A0T0I0,Q110A9,1.4999999999999998e-29,106.6,Trichodesmium erythraeum (strain IMS101)
399,A0T0I0,Q8DMM9,1.1000000000000002e-28,103.8,Thermosynechococcus elongatus (strain BP-1)
400,A0T0I0,Q7NPG8,3.7e-28,102.2,Gloeobacter violaceus (strain ATCC 29082 / PCC 7421)
401,A0T0I0,B1WQR2,5.7000000000000004e-27,98.4,Crocosphaera subtropica (strain ATCC 51142 / BH68)
402,A0T0I0,Q8YPI1,2.1e-26,96.6,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
403,A0T0I0,B2ITQ3,4.2e-26,95.6,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
404,A0T0I0,A2BYT4,4.3e-26,95.6,Prochlorococcus marinus str. MIT 9515
405,A0T0I0,O24691,6.9e-26,94.9,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
406,A0T0I0,Q31L09,6.9e-26,94.9,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
407,A0T0I0,P73318,8.5e-26,94.6,Synechocystis sp. (strain PCC 6803 / Kazusa)
408,A0T0I0,B0C1D5,1.4e-25,93.9,Acaryochloris marina (strain MBIC 11017)
409,A0T0B3,A0T0S2,9.3e-50,171.7,Thalassiosira pseudonana
410,A0T0B3,Q3MCD2,8.199999999999997e-41,143.1,Trichormus variabilis ATCC 29413
411,A0T0B3,Q8YQ66,1.7e-40,142.0,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
412,A0T0B3,Q10ZE2,3.1e-40,141.2,Trichodesmium erythraeum (strain IMS101)
413,A0T0B3,Q9MUR6,2.5e-39,138.3,Mesostigma viride
414,A0T0B3,B2J6L1,6.4e-39,137.0,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
415,A0T0B3,B0CAI0,9.5e-39,136.4,Acaryochloris marina (strain MBIC 11017)
416,A0T0B3,P52858,1.8e-38,135.5,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
417,A0T0B3,B7JUU6,5.3e-38,134.1,Rippkaea orientalis (strain PCC 8801)
418,A0T0B3,Q19V89,5.4e-38,134.0,Chlorokybus atmophyticus
419,A0T0B3,B0JYC2,9e-38,133.3,Microcystis aeruginosa (strain NIES-843)
420,A0T0B3,Q1XDG8,4.3e-37,131.1,Pyropia yezoensis
421,A0T0B3,O78506,4.7e-37,131.0,Guillardia theta
422,A0T0B3,B7K8N1,5.6e-37,130.8,Gloeothece citriformis (strain PCC 7424)
423,A0T0B3,P48138,8.2e-37,130.3,Cyanophora paradoxa
424,A0T0B3,Q9GGE2,6.300000000000001e-36,127.4,Chlamydomonas reinhardtii
425,A0T0C7,O98449,2.3999999999999998e-54,187.1,Thalassiosira weissflogii
426,A0T0C7,A0T0N1,7.8e-54,185.5,Thalassiosira pseudonana
427,A0T0C7,P36239,4.2999999999999996e-46,160.6,Synechocystis sp. (strain PCC 6803 / Kazusa)
428,A0T0C7,B1XJH5,2.6000000000000003e-44,154.9,Synechococcus sp. PCC 7002
429,A0T0C7,B7JWU1,1.4999999999999998e-43,152.5,Rippkaea orientalis (strain PCC 8801)
430,A0T0C7,B1WR94,5.699999999999999e-43,150.6,Crocosphaera subtropica (strain ATCC 51142 / BH68)
431,A0T0C7,B0JNQ1,1.1e-42,149.6,Microcystis aeruginosa (strain NIES-843)
432,A0T0C7,Q2JU45,1.9e-42,148.9,Synechococcus sp. (strain JA-3-3Ab)
433,A0T0C7,B2JA71,3.9e-42,147.9,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
434,A0T0C7,Q8DJC4,4.7e-42,147.6,Thermosynechococcus elongatus (strain BP-1)
435,A0T0C7,B7KJM8,8.1e-42,146.9,Gloeothece citriformis (strain PCC 7424)
436,A0T0C7,Q2JHW3,1.5999999999999998e-41,145.9,Synechococcus sp. (strain JA-2-3B'a(2-13))
437,A0T0C7,Q3MA22,2.2e-41,145.4,Trichormus variabilis ATCC 29413
438,A0T0C7,Q8YLK1,2.3999999999999997e-41,145.3,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
439,A0T0C7,B0CAC6,4.0999999999999996e-41,144.6,Acaryochloris marina (strain MBIC 11017)
440,A0T0C7,B8HT34,4.5e-40,141.3,Cyanothece sp. (strain PCC 7425 / ATCC 29141)
441,A0T0H4,Q3MAZ7,1.6e-106,362.4,Trichormus variabilis ATCC 29413
442,A0T0H4,P74764,7.8e-106,360.1,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
443,A0T0H4,Q8YMH5,7.099999999999999e-105,356.9,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
444,A0T0H4,Q5N5G8,8.6e-105,356.7,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
445,A0T0H4,Q8DL37,1.4e-103,352.6,Thermosynechococcus elongatus (strain BP-1)
446,A0T0H4,P74296,3.4000000000000003e-100,341.5,Synechocystis sp. (strain PCC 6803 / Kazusa)
447,A0T0H4,Q2JHU3,2.3e-95,325.5,Synechococcus sp. (strain JA-2-3B'a(2-13))
448,A0T0H4,Q2JXF6,1.6e-92,316.1,Synechococcus sp. (strain JA-3-3Ab)
449,A0T0H4,Q7V1J8,2.6000000000000002e-89,305.5,Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)
450,A0T0H4,Q46KZ8,6e-85,291.1,Prochlorococcus marinus (strain NATL2A)
451,A0T0H4,Q31AV5,1.8e-82,282.9,Prochlorococcus marinus (strain MIT 9312)
452,A0T0H4,Q7NCQ2,7.9e-81,277.5,Gloeobacter violaceus (strain ATCC 29082 / PCC 7421)
453,A0T0H4,Q9K896,3.1e-79,272.2,Alkalihalobacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125)
454,A0T0H4,Q3AVJ1,1e-77,267.2,Synechococcus sp. CC9902
455,A0T0H4,Q4L5E4,7.3e-76,261.1,Staphylococcus haemolyticus (strain JCSC1435)
456,A0T0H4,Q7VBX6,8.7e-76,260.8,Prochlorococcus marinus (strain SARG / CCMP1375 / SS120)
457,A0T0H4,Q8CSY8,1.4e-75,260.1,Staphylococcus epidermidis (strain ATCC 12228 / FDA PCI 1200)
458,B7FRU7,C7Z527,2.4e-131,443.3,Fusarium vanettenii (strain ATCC MYA-4622 / CBS 123669 / FGSC 9596 / NRRL 45880 / 77-13-4)
459,B7FRU7,B2AT43,4.6e-129,435.8,Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383)
460,B7FRU7,Q7SF84,8.3e-128,431.6,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)
461,B7FRU7,D1Z4I6,3.3e-127,429.7,Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell)
462,B7FRU7,A9NNH7,5.999999999999999e-127,428.8,Picea sitchensis
463,B7FRU7,B0WAU6,7.6e-127,428.5,Culex quinquefasciatus
464,B7FRU7,C4JE77,1.2e-126,427.9,Uncinocarpus reesii (strain UAMH 1704)
465,B7FRU7,Q7JQW6,1.4000000000000001e-126,427.6,Drosophila melanogaster
466,B7FRU7,B4IAA7,2.0000000000000002e-126,427.1,Drosophila sechellia
467,B7FRU7,B4PF83,1.2e-125,424.6,Drosophila yakuba
468,B7FRU7,B4IUG3,1.3e-125,424.4,Drosophila yakuba
469,B7FRU7,A1CJC4,1.6000000000000002e-125,424.1,Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107)
470,B7FRU7,Q3LSN4,1.8e-125,423.9,Pisum sativum
471,B7FRU7,B8NUL8,2.3000000000000002e-125,423.6,Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167)
472,B7FRU7,Q3LSN5,2.7000000000000003e-125,423.4,Pisum sativum
473,B7FRU7,Q5AQE4,3.3e-125,423.1,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)
474,B7FRU7,B3NIL9,3.8e-125,422.9,Drosophila erecta
475,B7FRU7,Q6PHG4,4.4000000000000004e-125,422.7,Danio rerio
476,B7FXE8,A8N8Z0,1.7e-57,200.1,Coprinopsis cinerea (strain Okayama-7 / 130 / ATCC MYA-4618 / FGSC 9003)
477,B7FXE8,D4AAT7,2.7e-57,199.4,Rattus norvegicus
478,B7FXE8,A7RRZ8,2.9e-57,199.3,Nematostella vectensis
479,B7FXE8,Q8IW45,6.9e-57,198.1,Homo sapiens
480,B7FXE8,E2QUI9,1.2e-56,197.4,Canis lupus familiaris
481,B7FXE8,Q9CZ42,2.7e-56,196.2,Mus musculus
482,B7FXE8,O94347,3.8999999999999997e-56,195.6,Schizosaccharomyces pombe (strain 972 / ATCC 24843)
483,B7FXE8,Q5R824,9.5e-56,194.4,Pongo abelii
484,B7FXE8,E1BNQ4,8.299999999999999e-55,191.3,Bos taurus
485,B7FXE8,E3XDZ8,8.399999999999998e-55,191.3,Anopheles darlingi
486,B7FXE8,Q94AF2,2.8e-54,189.5,Arabidopsis thaliana
487,B7FXE8,F1Q575,1.1999999999999998e-53,187.4,Danio rerio
488,B7FXE8,Q17NP0,1.8e-53,186.8,Aedes aegypti
489,B7FXE8,C7YKN8,3.0999999999999997e-53,186.1,Fusarium vanettenii (strain ATCC MYA-4622 / CBS 123669 / FGSC 9596 / NRRL 45880 / 77-13-4)
490,B7FXE8,E3L9T1,7e-53,184.9,Puccinia graminis f. sp. tritici (strain CRL 75-36-700-3 / race SCCL)
491,B7FXE8,F6RCC2,8.4e-53,184.7,Ciona intestinalis
492,B7FXE8,F6HDM2,9.3e-53,184.5,Vitis vinifera
493,B7FXE8,Q0UVK8,1.7e-52,183.6,Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173)
494,B7FXE8,E3LAQ9,5.6e-52,182.0,Puccinia graminis f. sp. tritici (strain CRL 75-36-700-3 / race SCCL)
495,B7GCG7,P49098,1.9e-23,87.9,Nicotiana tabacum
496,B7GCG7,Q9ZWT2,8.3e-23,85.8,Arabidopsis thaliana
497,B7GCG7,P49099,5.5e-22,83.2,Nicotiana tabacum
498,B7GCG7,Q9P5L0,7.100000000000003e-22,82.8,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)
499,B7GCG7,Q9Y706,7.100000000000003e-22,82.8,Mortierella alpina
500,B7GCG7,Q9HFV1,1.1e-21,82.2,Rhizopus stolonifer
501,B7GCG7,O04354,7.4e-21,79.5,Borago officinalis
502,B7GCG7,P49100,7.5e-21,79.5,Oryza sativa subsp. japonica
503,B7GCG7,P40934,1.6e-20,78.5,Brassica oleracea var. botrytis
504,B7GCG7,P40312,3.1e-20,77.5,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
505,B7GCG7,O48845,3.8e-20,77.2,Arabidopsis thaliana
506,B7GCG7,P00174,1.2e-19,75.6,Gallus gallus
507,B7GCG7,P00172,1.3e-19,75.5,Sus scrofa
508,B7GCG7,Q42342,1.7e-19,75.1,Arabidopsis thaliana
509,B7GCG7,P00170,1.8e-19,75.1,Equus caballus
510,B7GCG7,P56395,1.9e-19,75.0,Mus musculus
511,B7GCG7,Q9V4N3,2.3e-19,74.7,Drosophila melanogaster
512,A0T0D7,P49466,0.0,2084.1,Trieres chinensis
513,A0T0D7,A6MVX4,0.0,1260.6,Rhodomonas salina
514,A0T0D7,O78485,0.0,1245.1,Guillardia theta
515,A0T0D7,Q31N17,0.0,1227.0,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
516,A0T0D7,Q5MZ23,0.0,1221.0,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
517,A0T0D7,Q8DL55,0.0,1221.0,Thermosynechococcus elongatus (strain BP-1)
518,A0T0D7,Q1XDN5,0.0,1213.2,Pyropia yezoensis
519,A0T0D7,P51252,0.0,1208.6,Porphyra purpurea
520,A0T0D7,Q318Q7,0.0,1192.5,Prochlorococcus marinus (strain MIT 9312)
521,A0T0D7,A2BYL1,0.0,1191.3,Prochlorococcus marinus str. MIT 9515
522,A0T0D7,P77965,0.0,1190.8,Synechocystis sp. (strain PCC 6803 / Kazusa)
523,A0T0D7,A3PEX4,0.0,1190.2,Prochlorococcus marinus (strain MIT 9301)
524,A0T0D7,A8G6Y6,0.0,1190.1,Prochlorococcus marinus (strain MIT 9215)
525,A0T0D7,A2C4N2,0.0,1190.1,Prochlorococcus marinus (strain NATL1A)
526,A0T0D7,Q2JX64,0.0,1189.0,Synechococcus sp. (strain JA-3-3Ab)
527,A0T0D7,Q110H1,0.0,1188.4,Trichodesmium erythraeum (strain IMS101)
528,A0T0D7,Q2JJ19,0.0,1187.5,Synechococcus sp. (strain JA-2-3B'a(2-13))
529,A0T0D7,Q46J22,0.0,1187.3,Prochlorococcus marinus (strain NATL2A)
530,Q9LKI8,P30157,4.5e-298,992.9,Ectocarpus variabilis
531,Q9LKI8,P41352,7.6e-288,959.2,Tetrahymena thermophila
532,Q9LKI8,P10876,3.6999999999999997e-287,956.9,Tetrahymena pyriformis
533,Q9LKI8,P33188,4.6e-287,956.6,Paramecium tetraurelia
534,Q9LKI8,Q9ZSW1,2.4e-283,944.3,Cyanophora paradoxa
535,Q9LKI8,P20365,4.6e-283,943.4,Euplotes crassus
536,Q9LKI8,O04386,2.6e-282,941.0,Chlamydomonas incerta
537,Q9LKI8,P11857,3.5e-282,940.5,Stylonychia lemnae
538,Q9LKI8,P04690,3.5e-282,940.5,Chlamydomonas reinhardtii
539,Q9LKI8,P11482,3.5e-282,940.5,Volvox carteri
540,Q9LKI8,Q08115,3.7e-280,933.9,Euplotoides octocarinatus
541,Q9LKI8,P10878,4.2e-280,933.7,Toxoplasma gondii
542,Q9LKI8,O59837,6.4e-280,933.1,Phytophthora cinnamomi
543,Q9LKI8,P22852,4.5e-279,930.3,Polytomella agilis
544,Q9LKI8,P50262,1.0999999999999999e-278,929.0,Oomycete-like sp. (strain MacKay2000)
545,Q9LKI8,P34108,2e-278,928.1,Naegleria pringsheimi
546,Q9LKI8,P11833,7.1e-278,926.3,Paracentrotus lividus
547,Q9LKI8,Q9N2N6,3.100000000000001e-277,924.2,Euplotes focardii
548,A0T0L1,A0T103,8.6e-149,498.8,Thalassiosira pseudonana
549,A0T0L1,P49570,8.1e-139,466.1,Trieres chinensis
550,A0T0L1,Q8YRC9,1.2999999999999999e-107,363.9,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
551,A0T0L1,Q3M859,8.1e-106,358.1,Trichormus variabilis ATCC 29413
552,A0T0L1,Q8DMP6,2e-105,356.8,Thermosynechococcus elongatus (strain BP-1)
553,A0T0L1,B0C390,1.1e-104,354.3,Acaryochloris marina (strain MBIC 11017)
554,A0T0L1,Q1XDC6,2.0000000000000002e-104,353.5,Pyropia yezoensis
555,A0T0L1,A3PFF2,2.4e-104,353.2,Prochlorococcus marinus (strain MIT 9301)
556,A0T0L1,Q7UZJ9,4.8e-104,352.2,Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)
557,A0T0L1,Q112X4,2.8e-103,349.8,Trichodesmium erythraeum (strain IMS101)
558,A0T0L1,A2BZ50,3.9e-103,349.3,Prochlorococcus marinus str. MIT 9515
559,A0T0L1,Q5N3I3,3.1000000000000004e-101,343.1,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
560,A0T0L1,Q31QR1,3.5e-101,342.9,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
561,A0T0G2,P49518,9.8e-136,456.3,Trieres chinensis
562,A0T0G2,P51205,3e-101,343.3,Porphyra purpurea
563,A0T0G2,P73123,8.9e-99,335.2,Synechocystis sp. (strain PCC 6803 / Kazusa)
564,A0T0G2,O78432,1.1e-97,331.6,Guillardia theta
565,A0T0G2,P25544,2.3e-31,114.2,Allochromatium vinosum
566,A0T0G2,Q55459,5.799999999999999e-31,112.9,Synechocystis sp. (strain PCC 6803 / Kazusa)
567,B7FNU7,Q8YRI1,5.6e-154,517.7,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
568,B7FNU7,Q8YTC2,1.2e-111,378.3,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
569,B7FNU7,B5X3C4,4.6e-110,373.0,Salmo salar
570,B7FNU7,Q7T394,6.2e-110,372.6,Danio rerio
571,B7FNU7,Q9PTR5,1.3e-109,371.5,Gallus gallus
572,B7FNU7,C4Q0P6,2.2e-109,370.8,Schistosoma mansoni
573,B7FNU7,C3XVT5,3.1e-109,370.3,Branchiostoma floridae
574,B7FNU7,P43034,6.399999999999999e-109,369.2,Homo sapiens
575,B7FNU7,P63004,7.1e-109,369.1,Rattus norvegicus
576,B7FNU7,P63005,7.1e-109,369.1,Mus musculus
577,B7FNU7,B0LSW3,7.1e-109,369.1,Felis catus
578,B7FNU7,Q8HXX0,1.5e-108,368.1,Macaca fascicularis
579,B7FNU7,Q5REG7,1.5e-108,368.0,Pongo abelii
580,B7FNU7,Q9GL51,1.7e-108,367.8,Sus scrofa
581,B7FNU7,Q6NZH4,1.8e-108,367.8,Xenopus tropicalis
582,B7FNU7,P43033,2.5e-108,367.3,Bos taurus
583,B7FNU7,Q90ZL4,2.8e-108,367.1,Xenopus laevis
584,B7FNU7,B5X3Z6,2.9e-108,367.1,Salmo salar
585,B7FNU7,Q5IS43,4e-108,366.6,Pan troglodytes
586,A0T0F6,B8HPI7,4.7e-44,153.3,Cyanothece sp. (strain PCC 7425 / ATCC 29141)
587,A0T0F6,B1XIQ9,1e-43,152.2,Synechococcus sp. PCC 7002
588,A0T0F6,B1WXF7,2.3999999999999998e-43,151.0,Crocosphaera subtropica (strain ATCC 51142 / BH68)
