Hit,Protein1,Protein2,E,Score,Organism,concat1,concat2
251,A0T0K7,Q3MDM6,1.1e-31,113.9,Trichormus variabilis ATCC 29413,A0T0K7Q3MDM6,Q3MDM6A0T0K7
252,A0T0K7,Q8YP64,1.1e-31,113.9,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576),A0T0K7Q8YP64,Q8YP64A0T0K7
253,A0T0K7,A9BCJ9,1.5e-31,113.6,Prochlorococcus marinus (strain MIT 9211),A0T0K7A9BCJ9,A9BCJ9A0T0K7
254,A0T0K7,B0JSD9,1.6e-31,113.5,Microcystis aeruginosa (strain NIES-843),A0T0K7B0JSD9,B0JSD9A0T0K7
255,A0T0K7,B1XI62,1.6e-31,113.5,Synechococcus sp. PCC 7002,A0T0K7B1XI62,B1XI62A0T0K7
256,A0T0K7,Q31PV6,1.6e-31,113.5,Synechococcus elongatus (strain PCC 7942 / FACHB-805),A0T0K7Q31PV6,Q31PV6A0T0K7
257,A0T0K7,Q5N4C2,1.6e-31,113.5,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1),A0T0K7Q5N4C2,Q5N4C2A0T0K7
258,A0T0K7,Q3AMT7,1.6e-31,113.5,Synechococcus sp. CC9605,A0T0K7Q3AMT7,Q3AMT7A0T0K7
259,A0T0K7,P48852,1.6e-31,113.4,Arthrospira platensis,A0T0K7P48852,P48852A0T0K7
265,A0T0M2,Q6B8Q2,1.3e-16,62.6,Gracilaria tenuistipitata var. liui,A0T0M2Q6B8Q2,Q6B8Q2A0T0M2
269,A0T0M2,Q19V93,1.8e-15,59.2,Chlorokybus atmophyticus,A0T0M2Q19V93,Q19V93A0T0M2
271,A0T0M2,B1WYX8,5.4e-15,57.7,Crocosphaera subtropica (strain ATCC 51142 / BH68),A0T0M2B1WYX8,B1WYX8A0T0M2
272,A0T0M2,Q9MUS1,7.5e-15,57.3,Mesostigma viride,A0T0M2Q9MUS1,Q9MUS1A0T0M2
273,A0T0M2,P48106,8.6e-15,57.1,Cyanophora paradoxa,A0T0M2P48106,P48106A0T0M2
275,A0T0M2,Q32RP2,1.1e-14,56.9,Zygnema circumcarinatum,A0T0M2Q32RP2,Q32RP2A0T0M2
276,A0T0M2,Q8M9Z9,1.2e-14,56.7,Chaetosphaeridium globosum,A0T0M2Q8M9Z9,Q8M9Z9A0T0M2
278,A0T0M2,O19882,2.2e-14,55.9,Cyanidium caldarium,A0T0M2O19882,O19882A0T0M2
279,A0T0M2,B1VKI2,4.0e-14,55.1,Cryptomeria japonica,A0T0M2B1VKI2,B1VKI2A0T0M2
286,A0T0F1,Q1XDP5,4.6e-253,845.0,Pyropia yezoensis,A0T0F1Q1XDP5,Q1XDP5A0T0F1
289,A0T0F1,Q112Z6,3.3e-252,842.1,Trichodesmium erythraeum (strain IMS101),A0T0F1Q112Z6,Q112Z6A0T0F1
291,A0T0F1,P51242,1.2e-251,840.3,Porphyra purpurea,A0T0F1P51242,P51242A0T0F1
292,A0T0F1,B7KKR4,7.3e-251,837.7,Gloeothece citriformis (strain PCC 7424),A0T0F1B7KKR4,B7KKR4A0T0F1
294,A0T0F1,P08449,4.8e-249,831.7,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1),A0T0F1P08449,P08449A0T0F1
295,A0T0F1,Q02848,2.0e-248,829.7,Antithamnion sp.,A0T0F1Q02848,Q02848A0T0F1
296,A0T0F1,Q31RF1,6.5e-248,828.0,Synechococcus elongatus (strain PCC 7942 / FACHB-805),A0T0F1Q31RF1,Q31RF1A0T0F1
297,A0T0F1,P27179,9.0e-248,827.5,Synechocystis sp. (strain PCC 6803 / Kazusa),A0T0F1P27179,P27179A0T0F1
298,A0T0F1,Q8DLP3,9.5e-248,827.5,Thermosynechococcus elongatus (strain BP-1),A0T0F1Q8DLP3,Q8DLP3A0T0F1
299,A0T0F1,B2J058,3.4e-247,825.6,Nostoc punctiforme (strain ATCC 29133 / PCC 73102),A0T0F1B2J058,B2J058A0T0F1
303,A0T0J8,Q8DML1,1.6e-43,152.7,Thermosynechococcus elongatus (strain BP-1),A0T0J8Q8DML1,Q8DML1A0T0J8
304,A0T0J8,Q97EK3,7.7e-43,150.5,Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / LMG 5710 / VKM B-1787),A0T0J8Q97EK3,Q97EK3A0T0J8
305,A0T0J8,Q2JUJ3,2.8e-42,148.7,Synechococcus sp. (strain JA-3-3Ab),A0T0J8Q2JUJ3,Q2JUJ3A0T0J8
306,A0T0J8,P48137,2.9e-42,148.6,Cyanophora paradoxa,A0T0J8P48137,P48137A0T0J8
307,A0T0J8,B0TC82,7.8e-42,147.2,Heliobacterium modesticaldum (strain ATCC 51547 / Ice1),A0T0J8B0TC82,B0TC82A0T0J8
308,A0T0J8,Q1XDJ3,1.0e-41,146.9,Pyropia yezoensis,A0T0J8Q1XDJ3,Q1XDJ3A0T0J8
309,A0T0J8,Q2JL76,1.7e-41,146.2,Synechococcus sp. (strain JA-2-3B'a(2-13)),A0T0J8Q2JL76,Q2JL76A0T0J8
310,A0T0J8,A6MW20,2.4e-41,145.7,Rhodomonas salina,A0T0J8A6MW20,A6MW20A0T0J8
311,A0T0J8,B0JY40,1.4e-40,143.2,Microcystis aeruginosa (strain NIES-843),A0T0J8B0JY40,B0JY40A0T0J8
312,A0T0J8,P51295,1.4e-40,143.2,Porphyra purpurea,A0T0J8P51295,P51295A0T0J8
313,A0T0J8,B7KI09,1.6e-40,143.1,Gloeothece citriformis (strain PCC 7424),A0T0J8B7KI09,B7KI09A0T0J8
314,A0T0J8,B2ITN3,1.7e-40,143.0,Nostoc punctiforme (strain ATCC 29133 / PCC 73102),A0T0J8B2ITN3,B2ITN3A0T0J8
315,A0T0J8,O46912,3.5e-40,141.9,Guillardia theta,A0T0J8O46912,O46912A0T0J8
316,A0T0J8,A1ALW4,4.5e-40,141.6,Pelobacter propionicus (strain DSM 2379 / NBRC 103807 / OttBd1),A0T0J8A1ALW4,A1ALW4A0T0J8
317,A0T0J8,B8HMS6,6.0e-40,141.2,Cyanothece sp. (strain PCC 7425 / ATCC 29141),A0T0J8B8HMS6,B8HMS6A0T0J8
318,A0T0J8,B8G1Z1,7.1e-40,140.9,Desulfitobacterium hafniense (strain DSM 10664 / DCB-2),A0T0J8B8G1Z1,B8G1Z1A0T0J8
319,A0T0J8,Q250K7,7.1e-40,140.9,Desulfitobacterium hafniense (strain Y51),A0T0J8Q250K7,Q250K7A0T0J8
323,A0T0G5,O78441,2.6e-282,944.1,Guillardia theta,A0T0G5O78441,O78441A0T0G5
324,A0T0G5,A6MVS6,4.5e-277,926.8,Rhodomonas salina,A0T0G5A6MVS6,A6MVS6A0T0G5
325,A0T0G5,Q8DHU4,4.1e-276,923.6,Thermosynechococcus elongatus (strain BP-1),A0T0G5Q8DHU4,Q8DHU4A0T0G5
326,A0T0G5,B8HSJ5,2.3e-274,917.8,Cyanothece sp. (strain PCC 7425 / ATCC 29141),A0T0G5B8HSJ5,B8HSJ5A0T0G5
327,A0T0G5,Q3MB92,5.8e-272,909.9,Trichormus variabilis ATCC 29413,A0T0G5Q3MB92,Q3MB92A0T0G5
328,A0T0G5,B0C1V9,9.9e-272,909.1,Acaryochloris marina (strain MBIC 11017),A0T0G5B0C1V9,B0C1V9A0T0G5
329,A0T0G5,Q10VW7,2.6e-271,907.7,Trichodesmium erythraeum (strain IMS101),A0T0G5Q10VW7,Q10VW7A0T0G5
330,A0T0G5,Q8YMS8,8.0e-271,906.1,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576),A0T0G5Q8YMS8,Q8YMS8A0T0G5
331,A0T0G5,B2IUA9,4.6e-270,903.6,Nostoc punctiforme (strain ATCC 29133 / PCC 73102),A0T0G5B2IUA9,B2IUA9A0T0G5
332,A0T0G5,B7K818,1.2e-266,892.3,Gloeothece citriformis (strain PCC 7424),A0T0G5B7K818,B7K818A0T0G5
333,A0T0G5,Q2JW99,4.2e-266,890.5,Synechococcus sp. (strain JA-3-3Ab),A0T0G5Q2JW99,Q2JW99A0T0G5
334,A0T0G5,B0JLJ4,2.0e-265,888.3,Microcystis aeruginosa (strain NIES-843),A0T0G5B0JLJ4,B0JLJ4A0T0G5
335,A0T0G5,Q1XDA6,7.0e-265,886.5,Pyropia yezoensis,A0T0G5Q1XDA6,Q1XDA6A0T0G5
336,A0T0G5,Q2JJ09,7.1e-265,886.5,Synechococcus sp. (strain JA-2-3B'a(2-13)),A0T0G5Q2JJ09,Q2JJ09A0T0G5
337,A0T0G5,P51381,1.0e-264,885.9,Porphyra purpurea,A0T0G5P51381,P51381A0T0G5
338,A0T0G5,B7K110,3.8e-264,884.0,Rippkaea orientalis (strain PCC 8801),A0T0G5B7K110,B7K110A0T0G5
339,A0T0G5,Q55709,5.9e-264,883.4,Synechocystis sp. (strain PCC 6803 / Kazusa),A0T0G5Q55709,Q55709A0T0G5
345,A0T0H9,B0C1D4,7.2e-56,193.7,Acaryochloris marina (strain MBIC 11017),A0T0H9B0C1D4,B0C1D4A0T0H9
346,A0T0H9,B7KHY8,8.9e-56,193.4,Gloeothece citriformis (strain PCC 7424),A0T0H9B7KHY8,B7KHY8A0T0H9
347,A0T0H9,B7K334,4.6e-54,187.9,Rippkaea orientalis (strain PCC 8801),A0T0H9B7K334,B7K334A0T0H9
348,A0T0H9,B8HMQ5,6.6e-54,187.3,Cyanothece sp. (strain PCC 7425 / ATCC 29141),A0T0H9B8HMQ5,B8HMQ5A0T0H9
349,A0T0H9,Q8DMN0,7.8e-54,187.1,Thermosynechococcus elongatus (strain BP-1),A0T0H9Q8DMN0,Q8DMN0A0T0H9
350,A0T0H9,O24690,2.5e-53,185.5,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1),A0T0H9O24690,O24690A0T0H9
351,A0T0H9,Q31L08,2.5e-53,185.5,Synechococcus elongatus (strain PCC 7942 / FACHB-805),A0T0H9Q31L08,Q31L08A0T0H9
352,A0T0H9,Q3MFC0,2.5e-53,185.4,Trichormus variabilis ATCC 29413,A0T0H9Q3MFC0,Q3MFC0A0T0H9
353,A0T0H9,B2ITQ4,3.4e-53,185.0,Nostoc punctiforme (strain ATCC 29133 / PCC 73102),A0T0H9B2ITQ4,B2ITQ4A0T0H9
354,A0T0H9,Q8YPI0,4.2e-53,184.7,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576),A0T0H9Q8YPI0,Q8YPI0A0T0H9
355,A0T0H9,B0JI02,1.8e-52,182.6,Microcystis aeruginosa (strain NIES-843),A0T0H9B0JI02,B0JI02A0T0H9
357,A0T0H9,Q110A8,4.6e-52,181.3,Trichodesmium erythraeum (strain IMS101),A0T0H9Q110A8,Q110A8A0T0H9
358,A0T0H9,A2BYT5,3.1e-48,168.8,Prochlorococcus marinus str. MIT 9515,A0T0H9A2BYT5,A2BYT5A0T0H9
359,A0T0H9,P73319,6.7e-48,167.7,Synechocystis sp. (strain PCC 6803 / Kazusa),A0T0H9P73319,P73319A0T0H9
365,B7G3Y9,B3L8F2,2.9e-130,439.1,Plasmodium knowlesi (strain H),B7G3Y9B3L8F2,B3L8F2B7G3Y9
366,B7G3Y9,Q8LEE8,9.1e-128,430.9,Arabidopsis thaliana,B7G3Y9Q8LEE8,Q8LEE8B7G3Y9
368,B7G3Y9,B9I666,2.6e-126,426.1,Populus trichocarpa,B7G3Y9B9I666,B9I666B7G3Y9
369,B7G3Y9,C0PN26,8.7e-125,421.1,Zea mays,B7G3Y9C0PN26,C0PN26B7G3Y9
370,B7G3Y9,B6TN12,2.1e-124,419.8,Zea mays,B7G3Y9B6TN12,B6TN12B7G3Y9
371,B7G3Y9,C5XKZ1,5.9e-124,418.3,Sorghum bicolor,B7G3Y9C5XKZ1,C5XKZ1B7G3Y9
372,B7G3Y9,B8B016,6.3e-124,418.3,Oryza sativa subsp. indica,B7G3Y9B8B016,B8B016B7G3Y9
373,B7G3Y9,B8AA76,2.4e-123,416.3,Oryza sativa subsp. indica,B7G3Y9B8AA76,B8AA76B7G3Y9
374,B7G3Y9,Q5ZAQ2,2.4e-123,416.3,Oryza sativa subsp. japonica,B7G3Y9Q5ZAQ2,Q5ZAQ2B7G3Y9
375,B7G3Y9,Q6L534,3.0e-123,416.0,Oryza sativa subsp. japonica,B7G3Y9Q6L534,Q6L534B7G3Y9
376,B7G3Y9,A8I2V9,1.7e-122,413.6,Chlamydomonas reinhardtii,B7G3Y9A8I2V9,A8I2V9B7G3Y9
377,B7G3Y9,B9RX57,2.3e-122,413.2,Ricinus communis,B7G3Y9B9RX57,B9RX57B7G3Y9
378,B7G3Y9,Q6PHG4,6.2e-121,408.4,Danio rerio,B7G3Y9Q6PHG4,Q6PHG4B7G3Y9
379,B7G3Y9,Q6GQ48,1.1e-119,404.4,Xenopus laevis,B7G3Y9Q6GQ48,Q6GQ48B7G3Y9
388,A0T0A6,Q19V80,5.9e-14,55.5,Chlorokybus atmophyticus,A0T0A6Q19V80,Q19V80A0T0A6
390,A0T0A6,Q9TM23,9.0e-14,54.9,Cyanidium caldarium,A0T0A6Q9TM23,Q9TM23A0T0A6
391,A0T0A6,P19053,1.5e-13,54.2,Secale cereale,A0T0A6P19053,P19053A0T0A6
392,A0T0A6,P12189,2.3e-13,53.7,Oryza sativa subsp. japonica,A0T0A6P12189,P12189A0T0A6
393,A0T0A6,Q6ENF9,2.3e-13,53.7,Oryza nivara,A0T0A6Q6ENF9,Q6ENF9A0T0A6
394,A0T0A6,P0C415,2.3e-13,53.7,Oryza sativa subsp. indica,A0T0A6P0C415,P0C415A0T0A6
395,A0T0A6,P0C414,2.3e-13,53.7,Oryza sativa,A0T0A6P0C414,P0C414A0T0A6
396,A0T0A6,P13555,3.0e-13,53.4,Pisum sativum,A0T0A6P13555,P13555A0T0A6
397,A0T0A6,Q6YXL6,6.1e-13,52.4,Physcomitrium patens,A0T0A6Q6YXL6,Q6YXL6A0T0A6
398,A0T0A6,A6BM35,6.1e-13,52.4,Gnetum parvifolium,A0T0A6A6BM35,A6BM35A0T0A6
399,A0T0A6,Q85X30,6.6e-13,52.3,Pinus koraiensis,A0T0A6Q85X30,Q85X30A0T0A6
401,A0T098,A0T0S9,3.2e-13,52.1,Thalassiosira pseudonana,A0T098A0T0S9,A0T0S9A0T098
404,A0T098,Q1XDA0,2.2e-10,43.6,Pyropia yezoensis,A0T098Q1XDA0,Q1XDA0A0T098
405,A0T098,Q8M9X5,4.1e-10,42.8,Chaetosphaeridium globosum,A0T098Q8M9X5,Q8M9X5A0T098
406,A0T098,P51387,7.3e-10,42.1,Porphyra purpurea,A0T098P51387,P51387A0T098
407,A0T098,Q32RX8,8.8e-10,41.8,Staurastrum punctulatum,A0T098Q32RX8,Q32RX8A0T098
408,A0T098,Q6B8K8,8.8e-10,41.8,Gracilaria tenuistipitata var. liui,A0T098Q6B8K8,Q6B8K8A0T098
409,A0T098,Q3ZJ61,9.2e-10,41.8,Tupiella akineta,A0T098Q3ZJ61,Q3ZJ61A0T098
410,A0T098,Q85CI4,1.2e-09,41.4,Anthoceros angustus,A0T098Q85CI4,Q85CI4A0T098
411,A0T098,Q8WI10,1.7e-09,41.0,Psilotum nudum,A0T098Q8WI10,Q8WI10A0T098
412,A0T098,Q9MUQ4,1.9e-09,40.8,Mesostigma viride,A0T098Q9MUQ4,Q9MUQ4A0T098
413,A0T098,P12185,2.6e-09,40.4,Marchantia polymorpha,A0T098P12185,P12185A0T098
414,A0T098,Q32RL7,2.7e-09,40.4,Zygnema circumcarinatum,A0T098Q32RL7,Q32RL7A0T098
415,A0T098,O78462,4.4e-09,39.7,Guillardia theta,A0T098O78462,O78462A0T098
416,A0T098,Q20F22,9.1e-09,38.8,Oltmannsiellopsis viridis,A0T098Q20F22,Q20F22A0T098
417,A0T098,P58214,1.1e-08,38.5,Chlorella vulgaris,A0T098P58214,P58214A0T098
418,A0T098,Q9TL12,1.2e-08,38.4,Nephroselmis olivacea,A0T098Q9TL12,Q9TL12A0T098
419,A0T098,Q0P3K0,1.6e-08,38.1,Ostreococcus tauri,A0T098Q0P3K0,Q0P3K0A0T098
423,A0T0J5,P23402,1.1e-57,199.2,Cyanophora paradoxa,A0T0J5P23402,P23402A0T0J5
424,A0T0J5,B2ITN9,8.0e-56,193.1,Nostoc punctiforme (strain ATCC 29133 / PCC 73102),A0T0J5B2ITN9,B2ITN9A0T0J5
425,A0T0J5,Q8YPJ5,1.7e-55,192.1,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576),A0T0J5Q8YPJ5,Q8YPJ5A0T0J5
426,A0T0J5,Q3MFA5,1.7e-55,192.1,Trichormus variabilis ATCC 29413,A0T0J5Q3MFA5,Q3MFA5A0T0J5
427,A0T0J5,B7KI03,2.1e-55,191.8,Gloeothece citriformis (strain PCC 7424),A0T0J5B7KI03,B7KI03A0T0J5
428,A0T0J5,O46910,3.5e-55,191.0,Guillardia theta,A0T0J5O46910,O46910A0T0J5
429,A0T0J5,A6MW17,6.4e-55,190.2,Rhodomonas salina,A0T0J5A6MW17,A6MW17A0T0J5
430,A0T0J5,B0C1E9,5.0e-54,187.3,Acaryochloris marina (strain MBIC 11017),A0T0J5B0C1E9,B0C1E9A0T0J5
431,A0T0J5,Q4G352,8.3e-54,186.6,Emiliania huxleyi,A0T0J5Q4G352,Q4G352A0T0J5
432,A0T0J5,B0JHY7,3.2e-53,184.7,Microcystis aeruginosa (strain NIES-843),A0T0J5B0JHY7,B0JHY7A0T0J5
433,A0T0J5,P59126,1.2e-52,182.8,Thermosynechococcus elongatus (strain BP-1),A0T0J5P59126,P59126A0T0J5
434,A0T0J5,P73304,1.5e-52,182.5,Synechocystis sp. (strain PCC 6803 / Kazusa),A0T0J5P73304,P73304A0T0J5
435,A0T0J5,B7K232,7.4e-52,180.2,Rippkaea orientalis (strain PCC 8801),A0T0J5B7K232,B7K232A0T0J5
436,A0T0J5,Q31L23,8.4e-52,180.0,Synechococcus elongatus (strain PCC 7942 / FACHB-805),A0T0J5Q31L23,Q31L23A0T0J5
437,A0T0J5,O24705,8.4e-52,180.0,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1),A0T0J5O24705,O24705A0T0J5
438,A0T0J5,Q1XDJ0,1.2e-50,176.3,Pyropia yezoensis,A0T0J5Q1XDJ0,Q1XDJ0A0T0J5
439,A0T0J5,B1XJJ1,1.9e-50,175.7,Synechococcus sp. PCC 7002,A0T0J5B1XJJ1,B1XJJ1A0T0J5
441,B7FXW1,Q754B9,4.9e-06,30.6,Ashbya gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056),B7FXW1Q754B9,Q754B9B7FXW1
442,B7FXW1,Q8J207,1.5e-05,29.0,Leptosphaeria maculans,B7FXW1Q8J207,Q8J207B7FXW1
443,B7FXW1,Q5PRC0,1.8e-05,28.7,Danio rerio,B7FXW1Q5PRC0,Q5PRC0B7FXW1
445,B7FXW1,Q7SBB6,6.3e-05,26.9,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),B7FXW1Q7SBB6,Q7SBB6B7FXW1
446,B7FXW1,O88822,7.6e-05,26.7,Mus musculus,B7FXW1O88822,O88822B7FXW1
447,B7FXW1,P53045,0.00018,25.4,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),B7FXW1P53045,P53045B7FXW1
448,B7FXW1,O75845,0.00024,25.0,Homo sapiens,B7FXW1O75845,O75845B7FXW1
449,B7FXW1,Q9EQS5,0.00024,25.0,Rattus norvegicus,B7FXW1Q9EQS5,Q9EQS5B7FXW1
450,B7FXW1,O93875,0.00025,25.0,Candida albicans,B7FXW1O93875,O93875B7FXW1
451,B7FXW1,P32353,0.00044,24.2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),B7FXW1P32353,P32353B7FXW1
452,B7FXW1,O13666,0.00056,23.8,Schizosaccharomyces pombe (strain 972 / ATCC 24843),B7FXW1O13666,O13666B7FXW1
453,B7FXW1,Q8NJ57,0.00063,23.6,Candida dubliniensis (strain CD36 / ATCC MYA-646 / CBS 7987 / NCPF 3949 / NRRL Y-17841),B7FXW1Q8NJ57,Q8NJ57B7FXW1
454,B7FXW1,Q5ZLL6,0.0014,22.5,Gallus gallus,B7FXW1Q5ZLL6,Q5ZLL6B7FXW1
455,B7FXW1,Q7ZW77,0.0015,22.4,Danio rerio,B7FXW1Q7ZW77,Q7ZW77B7FXW1
456,B7FXW1,Q9UUH4,0.0017,22.3,Schizosaccharomyces pombe (strain 972 / ATCC 24843),B7FXW1Q9UUH4,Q9UUH4B7FXW1
458,B7FXW1,O59933,0.0036,21.2,Candida albicans (strain SC5314 / ATCC MYA-2876),B7FXW1O59933,O59933B7FXW1
459,B7FXW1,P50860,0.004,21.0,Candida glabrata (strain ATCC 2001 / CBS 138 / JCM 3761 / NBRC 0622 / NRRL Y-65),B7FXW1P50860,P50860B7FXW1
466,Q08587,Q42395,1.7e-77,264.5,Trieres chinensis,Q08587Q42395,Q42395Q08587
472,Q08587,Q40299,1.3e-53,186.6,Macrocystis pyrifera,Q08587Q40299,Q40299Q08587
473,Q08587,P08976,2.2e-24,91.4,Euglena gracilis,Q08587P08976,P08976Q08587
474,Q08587,P55738,2.1e-18,71.9,Amphidinium carterae,Q08587P55738,P55738Q08587
475,Q08587,Q39709,3.7e-16,64.5,Isochrysis galbana,Q08587Q39709,Q39709Q08587
476,Q08587,Q03965,1.7e-13,55.9,Chlamydomonas moewusii,Q08587Q03965,Q03965Q08587
477,Q08587,P0DO19,2.4e-13,55.4,Chlamydomonas reinhardtii,Q08587P0DO19,P0DO19Q08587
478,Q08587,P93664,5.8e-13,54.1,Chlamydomonas reinhardtii,Q08587P93664,P93664Q08587
483,A0T0G8,B0CDA5,2.8e-118,400.3,Acaryochloris marina (strain MBIC 11017),A0T0G8B0CDA5,B0CDA5A0T0G8
484,A0T0G8,Q3M6F7,1.8e-117,397.6,Trichormus variabilis ATCC 29413,A0T0G8Q3M6F7,Q3M6F7A0T0G8
485,A0T0G8,Q9R6Y2,2.4e-117,397.3,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576),A0T0G8Q9R6Y2,Q9R6Y2A0T0G8
488,A0T0G8,B1WRN9,4.1e-115,389.9,Crocosphaera subtropica (strain ATCC 51142 / BH68),A0T0G8B1WRN9,B1WRN9A0T0G8
489,A0T0G8,B0JHI7,5.9e-115,389.4,Microcystis aeruginosa (strain NIES-843),A0T0G8B0JHI7,B0JHI7A0T0G8
490,A0T0G8,O68616,7.2e-115,389.1,Synechococcus sp. PCC 7002,A0T0G8O68616,O68616A0T0G8
492,A0T0G8,Q8DL16,1.8e-113,384.4,Thermosynechococcus elongatus (strain BP-1),A0T0G8Q8DL16,Q8DL16A0T0G8
494,A0T0G8,P73912,9.9e-113,382.0,Synechocystis sp. (strain PCC 6803 / Kazusa),A0T0G8P73912,P73912A0T0G8
498,A0T0G8,Q9R6T0,5.9e-107,363.0,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1),A0T0G8Q9R6T0,Q9R6T0A0T0G8
499,A0T0G8,Q31RG5,5.9e-107,363.0,Synechococcus elongatus (strain PCC 7942 / FACHB-805),A0T0G8Q31RG5,Q31RG5A0T0G8
501,Q9SE35,Q52118,0.0014,23.4,Pantoea stewartii subsp. stewartii,Q9SE35Q52118,Q52118Q9SE35
502,Q9SE35,P73709,0.016,20.0,Synechocystis sp. (strain PCC 6803 / Kazusa),Q9SE35P73709,P73709Q9SE35
503,Q9SE35,Q497N6,0.28,15.9,Mus musculus,Q9SE35Q497N6,Q497N6Q9SE35
504,Q9SE35,P73063,0.4,15.4,Synechocystis sp. (strain PCC 6803 / Kazusa),Q9SE35P73063,P73063Q9SE35
505,Q9SE35,P74221,0.48,15.2,Synechocystis sp. (strain PCC 6803 / Kazusa),Q9SE35P74221,P74221Q9SE35
506,Q9SE35,P20075,0.5,15.1,Daucus carota,Q9SE35P20075,P20075Q9SE35
507,Q9SE35,Q55837,0.69,14.6,Synechocystis sp. (strain PCC 6803 / Kazusa),Q9SE35Q55837,Q55837Q9SE35
508,Q9SE35,P10333,0.97,14.2,Drosophila melanogaster,Q9SE35P10333,P10333Q9SE35
511,B7FSL4,Q7KUT2,1.2e-253,848.8,Drosophila melanogaster,B7FSL4Q7KUT2,Q7KUT2B7FSL4
512,B7FSL4,A4S6Y4,1.7e-251,841.7,Ostreococcus lucimarinus (strain CCE9901),B7FSL4A4S6Y4,A4S6Y4B7FSL4
517,B7FSL4,Q8CGK3,2.5e-242,811.3,Mus musculus,B7FSL4Q8CGK3,Q8CGK3B7FSL4
518,B7FSL4,P36776,1.0e-241,809.3,Homo sapiens,B7FSL4P36776,P36776B7FSL4
519,B7FSL4,Q924S5,2.0e-241,808.4,Rattus norvegicus,B7FSL4Q924S5,Q924S5B7FSL4
520,B7FSL4,Q59HJ6,4.9e-241,807.1,Bos taurus,B7FSL4Q59HJ6,Q59HJ6B7FSL4
521,B7FSL4,Q7S8C4,7.2e-235,786.7,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),B7FSL4Q7S8C4,Q7S8C4B7FSL4
522,B7FSL4,Q9M9L7,9.5e-231,773.0,Arabidopsis thaliana,B7FSL4Q9M9L7,Q9M9L7B7FSL4
523,B7FSL4,O44952,4.0e-230,771.0,Caenorhabditis elegans,B7FSL4O44952,O44952B7FSL4
525,B7FSL4,A2QCJ2,5.5e-228,763.9,Aspergillus niger (strain CBS 513.88 / FGSC A1513),B7FSL4A2QCJ2,A2QCJ2B7FSL4
526,B7FSL4,Q4X0Z7,7.1e-228,763.5,Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100),B7FSL4Q4X0Z7,Q4X0Z7B7FSL4
527,B7FSL4,Q6ME13,1.1e-227,762.9,Protochlamydia amoebophila (strain UWE25),B7FSL4Q6ME13,Q6ME13B7FSL4
528,B7FSL4,Q5AZT7,1.6e-227,762.3,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139),B7FSL4Q5AZT7,Q5AZT7B7FSL4
533,A0T0E9,Q19VA4,4.8e-21,80.0,Chlorokybus atmophyticus,A0T0E9Q19VA4,Q19VA4A0T0E9
534,A0T0E9,Q6B8R0,2.7e-20,77.6,Gracilaria tenuistipitata var. liui,A0T0E9Q6B8R0,Q6B8R0A0T0E9
535,A0T0E9,A6MVW6,2.9e-20,77.5,Rhodomonas salina,A0T0E9A6MVW6,A6MVW6A0T0E9
536,A0T0E9,Q6YXK2,4.1e-20,77.0,Physcomitrium patens,A0T0E9Q6YXK2,Q6YXK2A0T0E9
537,A0T0E9,Q1XDP3,5.1e-20,76.7,Pyropia yezoensis,A0T0E9Q1XDP3,Q1XDP3A0T0E9
539,A0T0E9,B2J056,2.7e-19,74.4,Nostoc punctiforme (strain ATCC 29133 / PCC 73102),A0T0E9B2J056,B2J056A0T0E9
540,A0T0E9,Q32RL0,4.8e-19,73.6,Zygnema circumcarinatum,A0T0E9Q32RL0,Q32RL0A0T0E9
541,A0T0E9,O78477,5.6e-19,73.4,Guillardia theta,A0T0E9O78477,O78477A0T0E9
542,A0T0E9,Q32RS7,5.7e-19,73.3,Staurastrum punctulatum,A0T0E9Q32RS7,Q32RS7A0T0E9
543,A0T0E9,Q85AL8,6.0e-19,73.3,Anthoceros angustus,A0T0E9Q85AL8,Q85AL8A0T0E9
544,A0T0E9,Q9TL15,1.3e-18,72.2,Nephroselmis olivacea,A0T0E9Q9TL15,Q9TL15A0T0E9
